style_number, astro_sign
44125, Aries
42010, Aries
42040, Libra
44186, Cancer
42026, Cancer
42047, Sagittarius
42002, Gemini
42015, Virgo
42034, Virgo
40472, Libra
04245, Aries
04245, Aries
40654, Capricorn
40314, Capricorn
40977, Aquarius
04568, Virgo
40349, Libra
42008, Aries
42004, Aries
42043, Leo
42027, Leo
42042, Cancer
42016, Capricorn
42041, Cancer
36548, Libra
36964, Libra
36064, Libra
40859, ERROR
40850, ERROR
46165, ERROR
40403, Taurus
42039, ERROR
42039, ERROR
46085, Scorpio
40080, Aries
40971, ERROR
38862, ERROR
38232, ERROR
38347, ERROR
38947, ERROR
38547, ERROR
38047, ERROR
37315, Scorpio
37915, Scorpio
37515, Scorpio
37115, Scorpio
37302, Libra
37902, Libra
37502, Libra
37102, Libra
37320, Gemini
37920, Gemini
37520, Gemini
37120, Gemini
37300, Capricorn
37900, Capricorn
37500, Capricorn
37100, Capricorn
37118, Capricorn
37314, Capricorn
37914, Capricorn
37514, Capricorn
37114, Capricorn
37306, Taurus
37506, Taurus
37106, Taurus
37319, Leo
37919, Leo
37519, Leo
37119, Leo
37304, Pisces
37504, Pisces
37104, Pisces
37324, Aries
37924, Aries
37524, Aries
37124, Aries
37311, Capricorn
37911, Capricorn
37511, Capricorn
37111, Capricorn
37301, Leo
37901, Leo
37501, Leo
37101, Leo
37323, Libra
37923, Libra
37523, Libra
37123, Libra
37303, Capricorn
37503, Capricorn
37103, Capricorn
42000, Libra
42037, Cancer
37307, Capricorn
37907, Capricorn
37507, Capricorn
37107, Capricorn
37321, Taurus
37921, Taurus
37521, Taurus
37121, Taurus
37109, Scorpio
37110, Capricorn
37312, Pisces
37912, Pisces
37512, Pisces
37112, Pisces
37116, Libra
37313, Scorpio
37913, Scorpio
37513, Scorpio
37113, Scorpio
37325, Taurus
37525, Taurus
37525, Taurus
37125, Taurus
37305, Gemini
37905, Gemini
37505, Gemini
37105, Gemini
37308, Taurus
37908, Taurus
37508, Taurus
37108, Taurus
36091, Sagittarius
36719, Pisces
36093, Sagittarius
36714, Gemini
36589, Taurus
36809, Taurus
36989, Taurus
36109, Taurus
36715, Leo
36582, Scorpio
36982, Scorpio
36082, Scorpio
36708, Capricorn
36529, Aquarius
36929, Aquarius
36022, Aquarius
36702, Capricorn
36572, Aquarius
36972, Aquarius
36072, Aquarius
36595, Virgo
36995, Virgo
36095, Virgo
36596, Leo
36996, Leo
36096, Leo
36711, ERROR
36590, Pisces
36810, Pisces
36990, Pisces
36110, Pisces
36597, Gemini
36997, Gemini
36097, Gemini
36594, ERROR
36094, ERROR
36094, ERROR
36583, Aquarius
36983, Aquarius
36588, Gemini
36808, Gemini
36988, Gemini
36088, Gemini
36586, Capricorn
36986, Capricorn
36804, Virgo
36717, Virgo
36992, Capricorn
36092, Capricorn
36981, Aries
36081, Aries
36117, ERROR
36089, Libra
36116, ERROR
36585, Taurus
36985, Taurus
36085, Taurus
36114, ERROR
36113, ERROR
36713, Aries
36706, Aquarius
36115, ERROR
36054, ERROR
36584, Taurus
36984, Taurus
36084, Taurus
36974, Aries
36074, Aries
36112, ERROR
36119, ERROR
36118, ERROR
36506, ERROR
36912, Sagittarius
36010, Sagittarius
36933, Scorpio
36512, Aquarius
36911, Aquarius
36017, Aquarius
36550, Libra
36966, Libra
36066, Libra
36527, Aries
36927, Aries
36041, Aries
36578, Leo
36978, Leo
36078, Leo
36551, Scorpio
36967, Scorpio
36067, Scorpio
36503, ERROR
36902, ERROR
36006, Taurus
36006, ERROR
36709, Scorpio
36009, ERROR
36511, Capricorn
36910, Capricorn
36016, Capricorn
36915, Capricorn
36024, Capricorn
36704, Aquarius
36507, ERROR
36801, Libra
36801, Libra
36905, ERROR
36011, Libra
36540, Taurus
36940, Taurus
36026, Taurus
36026, Taurus
36987, Capricorn
36087, Capricorn
36546, Capricorn
36962, Capricorn
36062, Capricorn
36542, Taurus
36952, Taurus
36052, Taurus
36510, Aries
36909, Aries
36015, Aries
36530, Taurus
36930, Taurus
36043, Taurus
36579, Virgo
36979, Virgo
36079, Virgo
36525, Capricorn
36925, Capricorn
36039, Capricorn
36971, Sagittarius
36071, Sagittarius
36958, Pisces
36058, Pisces
36934, ERROR
36046, Scorpio
, Pisces
36059, Pisces
36524, Libra
36924, Libra
36038, Libra
36521, Aries
36921, Aries
36035, Aries
36007, ERROR
36931, Aries
36044, Aries
36931, Aries
36044, Aries
36523, Aquarius
36923, Aquarius
36037, Aquarius
36526, Cancer
36040, Cancer
36040, Cancer
36083, Aquarius
36073, Aquarius
36073, Aquarius
36086, Aquarius
36514, Scorpio
36914, Scorpio
36547, Virgo
36804, Virgo
36963, Virgo
36063, Virgo
36001, ERROR
04077, Virgo
36004, ERROR
36004, ERROR
36520, Virgo
36920, Virgo
36034, Virgo
36536, ERROR
36956, Aquarius
36056, Aquarius
36580, Cancer
36980, Cancer
36080, Cancer
36027, ERROR
36545, Sagittarius
36961, Sagittarius
